"Year","sum_flow","mig_year","win_flow","win_flow_CV","sum_air","win_air","spr_air","spr_dis","RIS_flow_juv","RIS_temp_juv","UC_spill_pct_juv","RIS_flow_ad","RIS_temp_ad","McN_flow","McN_temp","McN_spill","Bon_flow","Bon_temp","Bon_spill","MC_spill_pct_juv","ersstArc.win","ersstArc.spr","ersstArc.sum","ersstArc.aut","ersstWAcoast.win","ersstWAcoast.spr","ersstWAcoast.sum","ersstWAcoast.aut","transport.win","transport.spr","transport.sum","transport.aut","CRflow.win","CRflow.spr","CRflow.sum","CRtemp.spr","CRtemp.sum","cui.win","cui.spr","cui.sum","cui.aut","mei.win","mei.spr","mei.sum","mei.aut","npgo.win","npgo.spr","npgo.sum","npgo.aut","npi.win","npi.spr","npi.sum","npi.aut","oni.win","oni.spr","oni.sum","oni.aut","pdo.win","pdo.spr","pdo.sum","pdo.aut"
2005,1028.83606557377,2006,1220.3,1220.3,69.85,37.3,47.1,2013.4262295082,160.522459016393,8.86651923076923,19.1915027322404,185.684754098361,11.9008524590164,327.531836065574,13.9227049180328,49.4293442622951,332.107360655738,14.5861803278689,35.6134262295082,37.9477103825137,0.160634203203793,-0.170944647131295,0.114869409868087,-0.0783661151754445,0.623570203781128,-0.186265150705973,-0.158329804738363,-0.428119579950968,-109.566666666667,-51.7547683923706,41.0353260869565,22.1923076923077,164322.222222222,269902.173913043,209097.826086957,9.58125,19.4032608695652,-80.6666666666667,-12.6666666666667,92.3333333333333,-14,-0.636666666666667,-0.626666666666667,0.146666666666667,0.736666666666667,-0.989325773333333,-0.465919593333333,-0.331047366666667,-0.794859043333333,1007.29333333333,1015.59666666667,1016.98333333333,1014.56,-0.766666666666667,-0.266666666666667,0.133333333333333,0.7,0.63,0.31,0.246666666666667,-0.403333333333333
2006,3612.08196721311,2007,2070.6,2070.6,71.475,36.5,48.05,5001.31147540984,162.81262295082,6.8406,13.4007868852459,162.916885245902,NA,244.749967213115,14.0114590163934,41.5424098360656,244.956590163934,14.6963770491803,40.039262295082,31.9144972677596,-0.356325072666694,-0.493707750035428,0.064572051475788,-0.359404956883398,0.00879073143005371,-0.332984765370687,0.335458437601725,-0.254002094268799,-226.647222222222,-148.502717391304,-47.2288828337875,-110.964187327824,152325.555555556,230391.304347826,175402.173913043,9.29239130434783,19.3554347826087,-39.3333333333333,15,19.6666666666667,5,0.533333333333333,-0.34,-0.853333333333333,-1.12333333333333,-0.23496423,0.134285766666667,1.30054706666667,0.968768876666667,1007.21333333333,1012.70666666667,1015.66666666667,1011.61333333333,0.633333333333333,-0.166666666666667,-0.566666666666667,-1.33333333333333,0.0633333333333333,-0.1,0.456666666666667,-0.963333333333333
2007,3093.83606557377,2008,1124,1124,70.2,36,44.05,1300.4262295082,126.280655737705,7.67690163934426,10.3022459016393,185.457868852459,11.0795573770492,328.279,12.7289672131148,49.8860655737705,340.066278688525,13.257131147541,43.548393442623,33.3731803278689,-0.623958031816044,-0.781107376978315,-0.487957437011017,-0.556527411526647,-0.712082743644714,-1.10495281219482,-1.48280787467957,-0.728066841761271,-3.81792717086835,-31.3559782608696,-10.1684782608696,-112.209366391185,136938.461538462,204815.217391304,231228.260869565,8.69782608695652,18.2108695652174,-32.3333333333333,11.3333333333333,38,-2.33333333333333,-1.19,-1.21666666666667,-0.936666666666667,-1.08,0.716212183333333,1.50264143333333,1.61659216666667,1.9874529,1008.58,1015.17,1016.11333333333,1013.40333333333,-1.53333333333333,-0.966666666666667,-0.4,-0.433333333333333,-0.783333333333333,-1.2,-1.57,-1.52
2008,3557.55737704918,2009,2015.7,2015.7,69.3,35.6,44.95,1841.52459016393,118.646229508197,7.20919672131148,9.65607650273224,139.096229508197,11.3602950819672,274.975229508197,13.6021475409836,44.6733278688525,280.240442622951,14.2689672131148,40.7115901639344,32.1116612021858,-0.585674311443307,-0.669568085738982,0.142139099384176,-0.199538592086441,-0.867949287096659,-1.05798745155334,-0.587281068166097,-0.153550863265991,37.8607954545455,26.3070652173913,57.4538043478261,-27.7087912087912,149133.333333333,214923.913043478,189566.304347826,8.47934782608696,19.5141304347826,-13.6666666666667,11,47,-39.6666666666667,-0.97,-0.823333333333333,0.316666666666667,0.666666666666667,0.693034826666667,0.433582186666667,0.549215386666667,1.06448077666667,1013.04,1016.43666666667,1015.05666666667,1012.17333333333,-0.733333333333333,-0.2,0.466666666666667,1,-1.27333333333333,-1.37333333333333,-0.25,0.13
2009,3087.39344262295,2010,1372.8,1372.8,72.275,37.5,47.2,2183.77049180328,96.582606557377,8.45203333333333,10.3561857923497,151.235475409836,10.9666440677966,257.612229508197,13.0245245901639,44.3523606557377,263.188245901639,13.7092459016393,44.2243278688525,32.1705519125683,0.0169735035677066,-0.178637137837794,-0.557738720137497,-0.376077121975778,0.290211995442708,0.384647210439046,-0.764753182729085,-0.0987012386322021,132.819444444444,-126.705722070845,92.5597826086957,-71.75,124528.888888889,150490.217391304,216179.347826087,9.66521739130435,18.5152173913043,-137.666666666667,-6.66666666666667,66,-15.3333333333333,1.05666666666667,0.543333333333333,-2.05333333333333,-2.16666666666667,1.65565276666667,1.56630476666667,1.15391196666667,1.19921676333333,1003.13,1014.10666666667,1017.64666666667,1012.71333333333,1.46666666666667,0.4,-1,-1.66666666666667,0.576666666666667,0.613333333333333,-0.846666666666667,-1.16333333333333
2010,3927.18032786885,2011,2180.5,2180.5,68.15,36.8,43.35,2445.08196721311,179.441459016393,7.58047540983607,22.9352841530055,240.098163934426,10.6007049180328,416.503245901639,12.2539508196721,61.571131147541,429.462475409836,12.8134918032787,51.8020819672131,42.3780273224044,-0.230900381077295,-0.245764277241696,-0.53660364973134,-0.520385226984134,-0.00480143229166667,-0.501899003982544,0.0569864908854167,0.144320408503215,-6.93314763231198,-72.929347826087,1.57336956521739,-132.019230769231,185825.555555556,308739.130434783,336978.260869565,8.18913043478261,17.4163043478261,-67,-50,49,-12.6666666666667,-1.79,-1.60666666666667,-0.94,-1.24666666666667,0.550170873333333,1.06441578,1.06153573333333,0.968934943333333,1010.83,1013.1,1015.68666666667,1013.20333333333,-1.36666666666667,-0.633333333333333,-0.533333333333333,-1.03333333333333,-0.986666666666667,-0.493333333333333,-1.43,-1.82
2011,5383.35245901639,2012,1123.5,1123.5,68.875,38,46.95,2679.83606557377,195.058196721311,8.02222950819672,33.5924972677596,227.075737704918,11.2336557377049,347.221754098361,13.0397213114754,54.0179016393443,354.602213114754,13.5400163934426,38.6839672131148,42.3762732240437,-0.497541042442979,-0.579058132980062,-0.813698415646608,-0.574507913370242,-0.343853791554769,-0.399840275446574,-0.1974991162618,-0.291045904159546,-191.989010989011,-80.0217391304348,-3.87228260869565,-5.91758241758242,144868.131868132,300380.434782609,293739.130434783,8.80434782608696,17.9141304347826,-34.6666666666667,-22,54,-11.6666666666667,-0.996666666666667,-0.456666666666667,-0.0133333333333333,-0.203333333333333,0.60911619,1.556779,1.84314586666667,1.54222606666667,1007.75,1015.21,1016.67,1013.48666666667,-0.8,-0.366666666666667,0.233333333333333,0.166666666666667,-1.34,-0.86,-1.44,-1.19666666666667
2012,4661.64754098361,2013,1553.1,1553.1,70.75,37.7,47.6,3238.19672131148,169.929737704918,8.60811475409836,21.731174863388,182.30131147541,11.8157719298246,269.659934426229,14.0446885245902,46.898868852459,270.540327868852,14.7690491803279,38.2120327868852,36.4025245901639,-0.415322958258377,-0.210634505337682,0.408843697624645,0.182210970473015,0.0142993132273356,-0.341259717941284,0.302862405776978,0.634090105692546,-68.7805555555556,-32.0625,-8.31521739130435,31.2225274725275,171866.666666667,221108.695652174,203380.434782609,9.57391304347826,19.5869565217391,-30,6.33333333333333,72.3333333333333,0.666666666666667,-0.0633333333333333,-0.406666666666667,-0.843333333333333,-0.24,1.21131163333333,0.656481736666667,0.57937884,-0.187568636666667,1008.45333333333,1015.29333333333,1015.98,1013.70333333333,-0.3,-0.233333333333333,-0.366666666666667,-0.233333333333333,-0.346666666666667,-0.236666666666667,-1.02333333333333,-0.486666666666667
2013,3194.4262295082,2014,1469.4,1469.4,71.55,38.1,48.85,3464.77049180328,165.385262295082,8.09055,25.5968743169399,183.78831147541,12.22655,298.257049180328,13.9233278688525,51.9266721311475,299.506508196721,14.5405573770492,38.4357049180328,37.4133224043716,0.393420674746064,0.80852515430286,1.24696617400509,1.34141088792647,-0.749026417732239,0.328831752141317,0.214984814325968,1.22571913401286,21.0777777777778,-47.9266304347826,7.55342465753425,-26.5564738292011,128852.222222222,264576.086956522,214076.086956522,9.34065934065934,19.4554347826087,-25,-9,80.3333333333333,-28.3333333333333,-0.43,-0.14,0.156666666666667,0.0866666666666667,-0.703257916666667,-0.281196853333333,-0.365014323333333,-0.0131346966666667,1008,1012.61,1015.84333333333,1010.58,-0.366666666666667,0.0666666666666667,0.1,0.4,0.09,1.3,0.73,1.43
2014,3420.99180327869,2015,3320.3,3320.3,73.625,41.6,51.75,3165.90163934426,113.879360655738,9.83560655737705,11.9407650273224,106.566344262295,13.821606557377,176.467213114754,16.2137868852459,42.6070819672131,173.740983606557,16.8845245901639,56.5320163934426,33.6643333333333,1.36566235895815,1.32081554251156,1.58903502047747,1.32779742876689,1.80121906598409,1.3749049504598,1.08984438578288,0.983837207158407,-54.5888888888889,-58.1634877384196,36.6839237057221,-28.5540166204986,197633.333333333,188054.347826087,139808.695652174,10.5978260869565,21.1978260869565,-45.6666666666667,28.6666666666667,80,2.66666666666667,0.206666666666667,0.48,1.83333333333333,2.06666666666667,-0.72592212,-1.16414438333333,-1.5501161,-1.88779286666667,1005.71666666667,1014.72333333333,1015.72333333333,1013.82666666667,0.633333333333333,0.8,1.5,2.33333333333333,2.42,1.54666666666667,1.64666666666667,1.42333333333333
2015,1122.63114754098,2016,2828.2,2828.2,74.7,39.7,52.55,5989.67213114754,158.61468852459,10.540868852459,21.2068579234973,142.810590163934,13.9314590163934,228.14262295082,15.5698196721311,42.9151639344262,226.755737704918,15.9884918032787,44.6303442622951,33.916825136612,0.843547552755509,1.11848229861808,1.1969302237719,0.880375869794824,1.12778131167094,1.59650659561157,0.404890775680542,0.817685604095459,-41.2038567493113,-34.8109589041096,-5.16076294277929,-48.6561604584527,148986.813186813,245619.565217391,158043.47826087,10.7760869565217,19.9978260869565,-178,-4.66666666666667,71.6666666666667,-82.3333333333333,1.88333333333333,1.3,-0.143333333333333,-0.483333333333333,0.0210586133333333,-0.202784843333333,-0.662614576666667,0.246645146666667,1002.82333333333,1012.05666666667,1018.85333333333,1011.45,2.43333333333333,1.06666666666667,-0.3,-0.7,1.43,2.45666666666667,1.26666666666667,0.963333333333333
2016,2234.93442622951,2017,1791.8,1791.8,69.85,35.1,45,3355.93442622951,223.420573770492,8.40806557377049,45.4260382513661,227.288524590164,11.8776393442623,385.134426229508,13.7413278688525,60.0613606557377,391.17868852459,14.2400327868852,49.4452786885246,52.4196721311475,0.388245459260612,0.503101595037285,0.679828844399288,0.514469772097708,0.659677902857463,0.284090042114258,0.206010341644287,0.442110776901245,142.454038997214,-61.6494565217391,-53.7445652173913,-1.66386554621849,180400,387184.782608696,225163.043478261,8.91,19.6565217391304,-45,-21.6666666666667,74.3333333333333,-34.3333333333333,-0.386666666666667,-0.206666666666667,-0.586666666666667,-0.686666666666667,-0.82594484,-0.488189323333333,-0.42353941,-1.3312714,1010.34,1012.39,1015.70333333333,1015.21666666667,-0.333333333333333,0.266666666666667,0.166666666666667,-0.666666666666667,0.88,0.913333333333333,0.326666666666667,0.173333333333333
2017,3501.93442622951,2018,2131.1,2131.1,71.725,37.7,46.25,2703.77049180328,212.960327868852,8.85645901639344,34.6621639344262,229.72095,12.8539180327869,362.924590163934,14.4971475409836,58.5254590163934,360.722950819672,15.0524426229508,49.1682295081967,48.1478633879781,0.638821300829964,0.624181168928914,0.687433810069643,1.05159245797958,0.627615610758464,0.406499306360881,0.772473653157552,0.637579441070557,21.1648044692737,-29.9728260869565,-3.44262295081967,-33.0824175824176,193144.444444444,212000,NA,3.83333333333333,NA,-55.3333333333333,14.3333333333333,64.3333333333333,-3,-0.733333333333333,-0.996666666666667,-0.106666666666667,0.396666666666667,-2.134316,-2.00776223333333,-1.69527006666667,-2.3052369,1010.41666666667,1015.28666666667,1017.35666666667,1012.65333333333,-0.9,-0.366666666666667,0.133333333333333,0.666666666666667,0.523333333333333,0.0566666666666667,0.0833333333333333,0.09
2018,2351.65573770492,2019,1163.4,1163.4,70.175,35.9,43.9,NA,114.466557377049,8.06637704918033,15.3363715846995,131.230409836066,12.0495245901639,252.537393442623,14.3718360655738,61.1581475409836,257.019786885246,15.0837540983607,45.0485573770492,44.5768360655738,0.910496988789789,NA,NA,NA,0.89228367805481,NA,NA,NA,NA,28.4673913043478,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,0.13,NA,NA,NA,-1.9662518,NA,NA,NA,NA,1010.06,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA
2019,NA,2020,NA,NA,69.525,37.9,47.6,NA,135.59195,8.74063934426229,19.1272912087912,195.585733333333,11.7692786885246,313.932049180328,13.6109508196721,66.6403278688525,315.603114754098,14.3663606557377,42.9188524590164,44.6051639344262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
